"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Central Europe and the Baltics","CEB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.8394047279315","90.3466423265902","89.933430093277","88.8380944011035","88.2248407316794","87.9345247401346","87.5581541466079","86.8958960520295","86.522087789687","86.1793565181618","85.789508414296","85.6421816882785","84.8270287275546","85.0421267028573","84.3618248503864","84.0388777614505","84.2090812133664","84.1241333997874","82.6199028367249","80.6725932179359","81.060999409797","80.9039198474816","79.2018635743881","78.3607619460349","77.334302362587","77.4453728901794","77.7477619677425","77.9435919536441","76.6423244496855","75.1989331318621","73.765281642929","74.9293008570427","74.4891649181178","73.787533856932","",
"Switzerland","CHE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.65","58.86","58.88","57.73","57.72","56.17","56.37","57.41","57.11","56.03","54.58","56.27","54.71","54.05","54.24","55.77","54.12","51.79","52.85","53.62","52.01","50.84","51.43","52.66","49.28","50.85","50.32","50.57","47.49","47.91","47.41","48.3","45.34","44.47","",
"Channel Islands","CHI","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.15","68.04","66.35","68.07","69.82","70.01","72.39","74.65","75.53","77.16","74.51","73.11","73.2","74.56","75.18","74.24","74.01","76.02","75.18","73.47","77.6","76.67","70.05","68.5","72.36","72.75","72.89","72.17","71.24","72.6","70.95","70.71","70.08","66.66","",
"China","CHN","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.79","74.83","75.43","76.47","77.04","78.43","78.98","78.88","79.09","79.54","80.27","81.13","82.18","84.48","86.33","87.59","88.51","89.53","89.74","90.33","90.99","91.59","91.28","91.1","90.54","89.94","89.1","88.6","88.16","87.69","87.45","87.16","86.72","","",
"Cote d'Ivoire","CIV","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7","23.32","27.59","28.55","28.24","25.15","32.02","32.11","30.83","40.89","37.13","34.3","37.85","32.5","24.93","25.39","21.45","24.25","24.62","22.72","28.41","25.67","30.05","33.76","32.32","35.04","36.82","39.67","41.32","39.01","38.97","35.9","37.58","","",
"Cameroon","CMR","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.71","17.39","16.11","16.65","16.9","16.07","15.69","16.04","16.25","14.55","16.2","15.42","15.3","16.1","16.12","14.78","16.96","28.76","27.5","30.74","31","29.09","26.25","25.31","26.99","27.8","27.02","25.51","25.64","24.63","24.88","23.51","22.89","","",
"Congo, Dem. Rep.","COD","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.16","8.78","7.86","7.35","4.71","5.49","5.81","4.77","4.13","3.09","2.04","1.64","1.71","2.01","2.11","2.55","2.68","2.87","3.07","2.74","3.08","3.69","2.88","3.2","3.51","3.23","2.54","2.59","3.43","3.52","3.25","2.86","3.97","","",
"Congo, Rep.","COG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.25","35.2","33.01","32.09","20.37","29.64","22.03","18.56","15.82","16.68","26.31","29.36","24.25","32.5","32.11","33.25","28.97","35.1","35.49","40.21","42.01","36.56","41.47","43.1","41.11","42.94","43.46","41.58","42.96","47.23","47.93","48.44","51.82","","",
"Colombia","COL","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.58","68.44","71.38","70.84","69.85","70.1","70.43","76.3","77.4","73.84","76.27","76.99","75.28","74.34","75.16","76.23","75.3","74.4","74.84","77.14","75.76","74.73","73.41","74.64","75.04","75.65","76.62","74.14","74.71","77.06","76","76.07","73.8","75.26","",
"Comoros","COM","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.53","59.41","58.76","58.57","57.93","59.28","57.26","58.92","63.73","61","59.03","57.22","55.19","56.56","48.06","46.99","47.42","49.9","50.1","48.8","48.37","49.57","48.06","47.82","47.97","47.42","52.31","54.91","56.76","51.55","46.97","50.17","50.71","51.55","",
